Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 495 Juta,"Matraman, Kota Jakarta Timur",2,2,23,47,Second
Rp 350 Juta - Rp 375 Juta,"Sentolo, Kab. Kulon Progo",0,0,0,0,Baru
"Rp 3,6 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",5,3,251,314,Second
"Rp 391,4 Juta - Rp 618,8 Juta","Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 1,4 Miliar","Cileungsi, Kab. Bogor",3,2,90,147,Second
Rp 490 Juta - Rp 905 Juta,"Cilodong, Kota Depok",1-3,1-2,36,21 - 55,Baru
"Rp 1,15 Miliar","Pancoran Mas, Kota Depok",3,LT 86 m²,LB 96,0,Second
"Rp 1,68 Miliar - Rp 5,76 Miliar","Setu, Kab. Bekasi",0,0,0,0,Baru
Rp 435 Juta,"Cibinong, Kab. Bogor",2,1,70,30,Second
Rp 100 Juta - Rp 143 Juta,"Pameungpeuk, Kab. Bandung",2,1,42 - 50,30 - 42,Baru
Rp 800 Juta,"Tarumajaya, Kab. Bekasi",2,1,108,60,Second
"Rp 550 Juta - Rp 3,18 Miliar","Bumiaji, Kota Batu",2-3,2-3,60 - 165,50 - 84,Baru
Rp 365 Juta,"Kramatjati (Kramat Jati), Kota Jakarta Timur",2,2,25,50,Second
Rp 450 Juta - Rp 520 Juta,"Kalasan, Kab. Sleman",2,1,62 - 71,52,Baru
Rp 875 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",3,2,65,80,Second
Rp 602 Juta - Rp 760 Juta,"Sukarami, Kota Palembang",2,1,85,50,Baru
"Rp 1,4 Miliar","Buahbatu (Margacinta), Kota Bandung",3,3,126,200,Second
Rp 517 Juta - Rp 608 Juta,"Cibeureum, Kota Sukabumi",2,2,70 - 98,53 - 63,Baru
"Rp 1,5 Miliar","Gunung Putri, Kab. Bogor",3,2,150,99,Second
"Rp 7,51 Miliar - Rp 8,3 Miliar","Cilandak, Kota Jakarta Selatan",3,4,138 - 154,308 - 398,Baru
"Rp 1,4 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",5,5,117,156,Second
"Rp 1,24 Miliar - Rp 2,6 Miliar","Babakan Madang, Kab. Bogor",3,2,60 - 96,63 - 100,Baru
"Rp 1,19 Miliar","Sukmajaya, Kota Depok",3,3,72,90,Second
"Rp 751,6 Juta - Rp 1,1 Miliar","Cilodong, Kota Depok",2-3,1-3,65 - 76,36 - 90,Baru
"Rp 8,5 Miliar","Coblong, Kota Bandung",7,4,743,300,Second
Rp 400 Juta - Rp 440 Juta,"Kasihan, Kab. Bantul",0,0,0,0,Baru
Rp 25 Miliar,"Kebayoran Lama, Kota Jakarta Selatan",7,5,489,647,Second
Rp 571 Juta - Rp 940 Juta,"Tenjo, Kab. Bogor",0,0,0,0,Baru
Rp 48 Miliar,"Kebayoran Baru, Kota Jakarta Selatan",5,5,370,810,Second
"Rp 565,99 Juta - Rp 784,48 Juta","Tenjo, Kab. Bogor",0,0,0,0,Baru
"Rp 3,5 Miliar","Kebayoran Lama, Kota Jakarta Selatan",3,2,200,160,Second
Rp 550 Juta - Rp 750 Juta,"Parongpong, Kab. Bandung Barat",0,0,0,0,Baru
"Rp 1,55 Miliar","Bogor Timur, Kota Bogor",2,2,72,73,Second
"Rp 973 Juta - Rp 2,42 Miliar","Babakan Madang, Kab. Bogor",2,1,60 - 90,30 - 60,Baru
"Rp 3,6 Miliar","Bogor Utara, Kota Bogor",3,3,414,175,Second
Rp 550 Juta - Rp 622 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 1,7 Miliar","Ciracas, Kota Jakarta Timur",5,4,92,130,Second
Rp 405 Juta,"Cibitung, Kab. Bekasi",0,0,0,0,Baru
Rp 1 Miliar,"Pondokmelati (Pondok Melati), Kota Bekasi",3,2,50,60,Second
Rp 575 Juta - Rp 641 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 1,7 Miliar","Ciracas, Kota Jakarta Timur",3,3,72,131,Second
Rp 580 Juta,"Sukaraja, Kab. Bogor",0,0,0,0,Baru
"Rp 1,7 Miliar","Ciracas, Kota Jakarta Timur",5,4,72,131,Second
Rp 669 Juta - Rp 705 Juta,"Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 893,5 Juta","Cimanggis, Kota Depok",3,2,45,61,Second
"Rp 1 Miliar - Rp 1,3 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 957 Juta,"Cimanggis, Kota Depok",3,2,51,80,Second
"Rp 168 Juta - Rp 420,1 Juta","Cibitung, Kab. Bekasi",2,1,60,25 - 29,Baru
"Rp 2,34 Miliar","Cimanggis, Kota Depok",4,3,LB 105,0,Second
"Rp 948,4 Juta - Rp 2,17 Miliar","Sukaraja, Kab. Bogor",2-3,1-2,72 - 195,42 - 86,Baru
"Rp 1,4 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,LB 94,0,Second
Rp 400 Juta - Rp 900 Juta,"Sawangan, Kota Depok",0,0,0,0,Baru
"Rp 5,59 Miliar","Babakan Madang, Kab. Bogor",4,4,180,208,Second
Rp 500 Juta - Rp 700 Juta,"Bojongsari, Kota Depok",0,0,0,0,Baru
Rp 900 Juta,"Bandung Kidul, Kota Bandung",2,1,102,85,Second
"Rp 750 Juta - Rp 2,6 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",0,0,0,0,Baru
"Rp 3,2 Miliar","Cinere, Kota Depok",4,4,240,277,Second
"Rp 923 Juta - Rp 1,61 Miliar","Cikarang Selatan, Kab. Bekasi",3,3,67 - 80,78 - 88,Baru
"Rp 6,5 Miliar","Kebon Jeruk, Kota Jakarta Barat",5,4,215,550,Second
"Rp 900 Juta - Rp 1,6 Miliar","Limo, Kota Depok",0,0,0,0,Baru
"Rp 2,18 Miliar","Batam Kota, Kota Batam",3,3,162,250,Second
"Rp 900 Juta - Rp 2,4 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 940 Juta,"Serpong, Kota Tangerang Selatan",3,2,LB 72,0,Second
Rp 700 Juta - Rp 1 Miliar,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 948 Juta,"Cimanggis, Kota Depok",3,2,51,80,Second
"Rp 1,1 Miliar - Rp 2,5 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 450 Juta,"Pamulang, Kota Tangerang Selatan",1,LT 58 m²,LB 40,0,Second
"Rp 1 Miliar - Rp 2,4 Miliar","Pondok Aren, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,2 Miliar","Kalideres, Kota Jakarta Barat",3,2,87,150,Second
Rp 455 Juta - Rp 489 Juta,"Tajurhalang, Kab. Bogor",0,0,0,0,Baru
"Rp 4,9 Miliar","Antapani (Cicadas), Kota Bandung",6,2,338,260,Second
"Rp 783 Juta - Rp 1,41 Miliar","Jatinangor, Kab. Sumedang",3,2,40 - 110,50 - 60,Baru
Rp 440 Juta,"Ciseeng, Kab. Bogor",2,1,60,39,Second
Rp 388 Juta - Rp 832 Juta,"Biringkanaya (Biring Kanaya), Kota Makassar",2-3,1-3,66 - 112,30 - 83,Baru
Rp 544 Juta,"Ciseeng, Kab. Bogor",2,1,60,65,Second
Rp 450 Juta - Rp 776 Juta,"Ciomas, Kab. Bogor",2-3,1-2,72 - 125,36 - 54,Baru
"Rp 1,8 Miliar","Tanah Abang, Kota Jakarta Pusat",4,3,100,100,Second
"Rp 160,34 Juta - Rp 166 Juta","Gunung Jati (Cirebon Utara), Kab. Cirebon",2,1,60,30,Baru
"Rp 1,7 Miliar","Labuhan Ratu, Kota Bandar Lampung",5,3,142,278,Second
Rp 364 Juta - Rp 792 Juta,"Playen, Kab. Gunung Kidul",2,1,67 - 182,41 - 90,Baru
Rp 700 Juta,"Sepatan Timur, Kab. Tangerang",2,2,105,136,Second
Rp 270 Juta - Rp 807 Juta,"Banjaran, Kab. Bandung",2-3,1-2,55 - 108,36 - 90,Baru
Rp 915 Juta,"Cimanggis, Kota Depok",3,2,50,72,Second
"Rp 1,56 Miliar - Rp 2,36 Miliar","Ciputat, Kota Tangerang Selatan",3,2,63 - 95,82 - 130,Baru
Rp 650 Juta,"Duren Sawit, Kota Jakarta Timur",2,LT 57 m²,LB 70,0,Second
"Rp 789,5 Juta - Rp 1,51 Miliar","Ngaglik, Kab. Sleman",2-3,1-3,93 - 143,45 - 90,Baru
"Rp 1,5 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,3,LB 115,0,Second
"Rp 1,1 Miliar - Rp 1,28 Miliar","Beji, Kota Depok",3,2,72 - 94,100 - 110,Baru
"Rp 1,39 Miliar","Cipayung, Kota Jakarta Timur",3,2,LB 104,0,Second
Rp 685 Juta - Rp 750 Juta,"Pamulang, Kota Tangerang Selatan",2,1,60 - 73,36 - 40,Baru
"Rp 1,29 Miliar","Cipayung, Kota Jakarta Timur",3,2,67,70,Second
Rp 455 Juta - Rp 470 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,62,40,Baru
Rp 925 Juta,"Ciracas, Kota Jakarta Timur",3,2,50,0,Second
Rp 455 Juta - Rp 638 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2-3,1-2,50 - 58,42 - 76,Baru
"Rp 873,29 Juta","Cipayung, Kota Jakarta Timur",3,2,79,65,Second
Rp 435 Juta - Rp 485 Juta,"Parung, Kab. Bogor",2,1,64 - 87,36,Baru
Rp 100 Juta,"Kemang, Kab. Bogor",2,1,72,50,Second
Rp 485 Juta - Rp 628 Juta,"Sedati, Kab. Sidoarjo",2,1-2,72,36 - 62,Baru
"Rp 1,23 Miliar","Duren Sawit, Kota Jakarta Timur",3,2,65,75,Second
"Rp 702 Juta - Rp 1,2 Miliar","Sedati, Kab. Sidoarjo",2-3,1-2,78 - 116,56 - 74,Baru
Rp 750 Juta,"Ciledug, Kota Tangerang",3,2,42,70,Second
"Rp 1,65 Miliar - Rp 2,41 Miliar","Bojong Gede (Bojonggede), Kab. Bogor",2-3,2,72 - 150,75 - 105,Baru
Rp 335 Juta,"Pondok Aren, Kota Tangerang Selatan",2,1,LB 50,0,Second
"Rp 1,06 Miliar - Rp 3,94 Miliar","Kelapa Dua, Kab. Tangerang",3,2-4,50 - 174,41 - 131,Baru
Rp 599 Juta,"Pamulang, Kota Tangerang Selatan",3,2,64,68,Second
Rp 500 Juta - Rp 981 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",2,1,65 - 136,36,Baru
"Rp 2,8 Miliar","Tenggilis Mejoyo, Kota Surabaya",2,2,116,160,Second
Rp 692 Juta - Rp 878 Juta,"Cipayung, Kota Depok",0,0,0,0,Baru
Rp 750 Juta,"Cipayung, Kota Depok",2,1,60,50,Second
Rp 388 Juta - Rp 823 Juta,"Sukun, Kota Malang",2-3,1-2,72 - 96,40 - 60,Baru
"Rp 1,4 Miliar","Medansatria (Medan Satria), Kota Bekasi",5,3,90,180,Second
Rp 550 Juta - Rp 605 Juta,"Tambun Selatan, Kab. Bekasi",2,1,60,45,Baru
Rp 550 Juta,"Cikarang Barat, Kab. Bekasi",2,1,LB 48,0,Second
Rp 455 Juta,"Cikarang Utara, Kab. Bekasi",2,1,72,36,Baru
"Rp 2,95 Miliar","Jagakarsa, Kota Jakarta Selatan",4,4,142,0,Second
Rp 617 Juta - Rp 908 Juta,"Cipayung, Kota Depok",2,1,68 - 110,38,Baru
Rp 820 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",3,3,72,102,Second
Rp 650 Juta - Rp 810 Juta,"Cilodong, Kota Depok",2,1,70 - 88,45,Baru
Rp 800 Juta,"Gunung Sindur, Kab. Bogor",2,1,107,39,Second
Rp 549 Juta - Rp 649 Juta,"Bojongsari, Kota Depok",2,1,60 - 75,40,Baru
"Rp 1,35 Miliar","Sindang Jaya, Kab. Tangerang",4,3,63,150,Second
Rp 435 Juta - Rp 524 Juta,"Tambun Utara, Kab. Bekasi",2,1,60 - 74,36,Baru
"Rp 1,3 Miliar","Serpong, Kota Tangerang Selatan",2,1,98,70,Second
"Rp 633,89 Juta","Tambun Utara, Kab. Bekasi",2,1,60 - 72,36 - 45,Baru
"Rp 1,15 Miliar","Pagedangan, Kab. Tangerang",1,2,48,15,Second
Rp 705 Juta - Rp 783 Juta,"Banyumanik, Kota Semarang",2,1,103,26,Baru
"Rp 3,7 Miliar","Kosambi, Kab. Tangerang",5,2,200,15,Second
Rp 200 Juta - Rp 210 Juta,"Sawangan, Kota Depok",2,1,45,33,Baru
"Rp 2,5 Miliar","Tarumajaya, Kab. Bekasi",2,2,114,69,Second
Rp 166 Juta,"Mundu, Kab. Cirebon",2,1,60,30,Baru
"Rp 4,25 Miliar","Pondok Aren, Kota Tangerang Selatan",4,1,350,140,Second
Rp 380 Juta - Rp 500 Juta,"Driyorejo, Kab. Gresik",2,1,60,34 - 40,Baru
"Rp 3,6 Miliar","Tanjung Priok, Kota Jakarta Utara",6,4,200,0,Second
Rp 455 Juta - Rp 630 Juta,"Driyorejo, Kab. Gresik",2,1,60,40 - 56,Baru
"Rp 13,8 Miliar","Tanjung Priok, Kota Jakarta Utara",5,4,360,1.000,Second
Rp 472 Juta - Rp 850 Juta,"Rancaekek, Kab. Bandung",2-3,1-2,84 - 140,36 - 85,Baru
"Rp 1,5 Miliar","Jagakarsa, Kota Jakarta Selatan",4,4,109,180,Second
"Rp 1,5 Miliar - Rp 1,61 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,2,60 - 71,77,Baru
Rp 535 Juta,"Ngemplak, Kab. Sleman",2,1,80,0,Second
"Rp 630 Juta - Rp 1,69 Miliar","Lowokwaru, Kota Malang",2-5,2-5,60 - 80,50 - 75,Baru
Rp 850 Juta,"Cikarang Selatan, Kab. Bekasi",4,2,108,150,Second
"Rp 895 Juta - Rp 1,52 Miliar","Cempaka Putih, Kota Jakarta Pusat",3,2,24 - 40,71 - 109,Baru
"Rp 1,2 Miliar","Sukun, Kota Malang",2,3,92,172,Second
Rp 185 Juta - Rp 380 Juta,"Cibitung, Kab. Bekasi",2,1,60,36,Baru
Rp 645 Juta,"Medansatria (Medan Satria), Kota Bekasi",3,2,LB 50,0,Second
Rp 185 Juta,"Tangerang, Kota Tangerang",2,1,60,20 - 30,Baru
"Rp 1,7 Miliar","Cikarang Selatan, Kab. Bekasi",3,2,144,122,Second
Rp 439 Juta - Rp 579 Juta,"Parung, Kab. Bogor",2,1,60,36,Baru
"Rp 1,3 Miliar","Antapani (Cicadas), Kota Bandung",4,1,109,100,Second
"Rp 2,27 Miliar - Rp 3,3 Miliar","Cempaka Putih, Kota Jakarta Pusat",3,3,53 - 80,94 - 119,Baru
"Rp 1,8 Miliar","Bekasi Utara, Kota Bekasi",3,2,66,76,Second
Rp 418 Juta - Rp 501 Juta,"Sawangan, Kota Depok",2,1,66 - 72,40 - 45,Baru
"Rp 2,3 Miliar","Pondok Aren, Kota Tangerang Selatan",2,1,177,150,Second
Rp 238 Juta - Rp 296 Juta,"Bojong Gede (Bojonggede), Kab. Bogor",2,1,50 - 60,30 - 36,Baru
Rp 935 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",2,2,54,42,Second
Rp 375 Juta - Rp 395 Juta,"Pedurungan, Kota Semarang",2,1,62 - 74,42 - 46,Baru
Rp 604 Juta,"Berbah, Kab. Sleman",2,LT 85 m²,LB 46,0,Second
"Rp 650 Juta - Rp 1,03 Miliar","Ngaliyan, Kota Semarang",3,2,120 - 152,60 - 80,Baru
Rp 930 Juta,"Citeureup, Kab. Bogor",2,1,LB 39,0,Second
"Rp 1,26 Miliar - Rp 1,34 Miliar","Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,80,90,Baru
"Rp 1,3 Miliar","Rancasari, Kota Bandung",3,3,102,113,Second
"Rp 800 Juta - Rp 1,53 Miliar","Cilodong, Kota Depok",3,2,66 - 122,70,Baru
"Rp 1,35 Miliar","Medansatria (Medan Satria), Kota Bekasi",3,2,129,100,Second
Rp 888 Juta - Rp 942 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,70 - 79,78 - 79,Baru
"Rp 2,35 Miliar","Serpong Utara, Kota Tangerang Selatan",5,4,120,230,Second
"Rp 818 Juta - Rp 1,12 Miliar","Jatiasih, Kota Bekasi",3,3,65 - 120,48 - 86,Baru
Rp 749 Juta,"Cikole, Kota Sukabumi",3,3,170,150,Second
Rp 556 Juta - Rp 772 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",2,2,40 - 55,45 - 60,Baru
Rp 7 Miliar,"Cinere, Kota Depok",5,5,565,600,Second
Rp 615 Juta,"Cikarang Selatan, Kab. Bekasi",2,1,72,47,Baru
"Rp 1,18 Miliar","Setu, Kota Tangerang Selatan",3,3,70,88,Second
Rp 653 Juta - Rp 915 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",3,1,54 - 81,60,Baru
Rp 700 Juta,"Gunung Sindur, Kab. Bogor",2,LT 70 m²,LB 62,0,Second
"Rp 837 Juta - Rp 1,18 Miliar","Kalideres, Kota Jakarta Barat",2-3,2,32 - 65,60 - 68,Baru
Rp 575 Juta,"Bekasi Barat, Kota Bekasi",3,LT 96 m²,LB 80,0,Second
"Rp 373,5 Juta - Rp 502,5 Juta","Sawangan, Kota Depok",2-3,1-2,40 - 50,36 - 60,Baru
"Rp 2,65 Miliar","Bandung Kidul, Kota Bandung",3,2,162,200,Second
"Rp 1,1 Miliar - Rp 2,05 Miliar","Johar Baru, Kota Jakarta Pusat",3,2,25 - 41,68 - 99,Baru
Rp 930 Juta,"Babakan Madang, Kab. Bogor",2,1,72,39,Second
Rp 490 Juta - Rp 550 Juta,"Legok, Kab. Tangerang",2,1,40 - 60,30 - 99,Baru
"Rp 20,5 Miliar","Kebayoran Lama, Kota Jakarta Selatan",5,4,315,560,Second
"Rp 955 Juta - Rp 1,26 Miliar","Cilodong, Kota Depok",3,2,62,88,Baru
Rp 888 Juta,"Medan Johor, Kota Medan",3,2,90,90,Second
Rp 452 Juta - Rp 774 Juta,"Gunung Sindur, Kab. Bogor",2-3,1-2,60,36 - 60,Baru
Rp 250 Juta,"Pancoran Mas, Kota Depok",2,1,40,25,Second
Rp 500 Juta - Rp 555 Juta,"Genuk, Kota Semarang",3,2,65 - 115,65 - 84,Baru
"Rp 1,25 Miliar","Bogor Timur, Kota Bogor",3,LT 872 m²,LB 406,0,Second
"Rp 400 Juta - Rp 4,71 Miliar","Padang Panjang Barat, Kota Padang Panjang",2,1,72 - 127,42 - 61,Baru
Rp 620 Juta,"Tambun Utara, Kab. Bekasi",2,1,72,45,Second
Rp 554 Juta - Rp 814 Juta,"Buduran, Kab. Sidoarjo",2-3,1,76 - 157,38 - 83,Baru
Rp 160 Juta,"Pancoran Mas, Kota Depok",2,1,35,25,Second
Rp 806 Juta - Rp 907 Juta,"Cilodong, Kota Depok",3,2,60 - 69,66 - 72,Baru
Rp 160 Juta,"Pancoran, Kota Jakarta Selatan",2,1,35,25,Second
Rp 240 Juta,"Cikupa, Kab. Tangerang",2,1,75,36,Baru
Rp 150 Juta,"Pancoran, Kota Jakarta Selatan",2,1,35,25,Second
Rp 500 Juta - Rp 600 Juta,"Cipayung, Kota Jakarta Timur",3,2,60,30,Baru
Rp 230 Juta,"Cimanggis, Kota Depok",2,1,40,30,Second
Rp 775 Juta - Rp 995 Juta,"Cimanggis, Kota Depok",3,2,41 - 57,70 - 81,Baru
"Rp 2,85 Miliar","Tarumajaya, Kab. Bekasi",3,3,216,200,Second
"Rp 799 Juta - Rp 1,73 Miliar","Jatiasih, Kota Bekasi",3,2,65 - 100,50 - 145,Baru
Rp 875 Juta,"Gunung Putri, Kab. Bogor",2,2,90,55,Second
"Rp 1,58 Miliar - Rp 2,44 Miliar","Pamulang, Kota Tangerang Selatan",3,2,60 - 62,61 - 72,Baru
"Rp 1,28 Miliar","Cibinong, Kab. Bogor",3,LT 519 m²,LB 168,0,Second
"Rp 1,35 Miliar - Rp 1,9 Miliar","Cinere, Kota Depok",3,2,72,78,Baru
"Rp 3,5 Miliar","Arcamanik, Kota Bandung",4,3,400,250,Second
Rp 600 Juta - Rp 700 Juta,"Kiaracondong, Kota Bandung",2,1,50,55,Baru
Rp 699 Juta,"Pamulang, Kota Tangerang Selatan",2,1,108,80,Second
Rp 600 Juta - Rp 860 Juta,"Pamulang, Kota Tangerang Selatan",2-3,1-2,50 - 67,45 - 70,Baru
Rp 600 Juta,"Dayeuhkolot, Kab. Bandung",3,2,105,72,Second
Rp 320 Juta - Rp 900 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",2,1,45,30,Baru
"Rp 1,05 Miliar","Medansatria (Medan Satria), Kota Bekasi",3,2,112,80,Second
Rp 700 Juta - Rp 775 Juta,"Sawangan, Kota Depok",3,3,72,72,Baru
"Rp 1,39 Miliar","Koja, Kota Jakarta Utara",4,4,70,70,Second
Rp 461 Juta - Rp 834 Juta,"Cibitung, Kab. Bekasi",2-3,1-2,60 - 72,28 - 60,Baru
"Rp 1,3 Miliar","Bekasi Barat, Kota Bekasi",3,2,128,150,Second
"Rp 1,5 Miliar - Rp 2,12 Miliar","Cipondoh, Kota Tangerang",3,2,50 - 55,64 - 69,Baru
"Rp 10,5 Miliar","Kuta Selatan, Kab. Badung",6,6,1.130,380,Second
Rp 485 Juta - Rp 678 Juta,"Cipayung, Kota Depok",2,1,66,45,Baru
"Rp 1,65 Miliar","Tambun Selatan, Kab. Bekasi",3,2,LB 110,0,Second
Rp 555 Juta - Rp 777 Juta,"Gunungpati, Kota Semarang",2,1,120 - 160,39 - 56,Baru
"Rp 3,4 Miliar","Serpong Utara, Kota Tangerang Selatan",4,4,LB 165,0,Second
"Rp 1,3 Miliar - Rp 1,88 Miliar","Duren Sawit, Kota Jakarta Timur",3,2,60,91,Baru
"Rp 4,1 Miliar","Cinere, Kota Depok",4,3,220,362,Second
"Rp 297,5 Juta - Rp 342,5 Juta","Cipayung, Kota Jakarta Timur",1,1,23 - 25,20 - 26,Baru
Rp 550 Juta,"Tambun Utara, Kab. Bekasi",2,1,78,78,Second
Rp 395 Juta - Rp 531 Juta,"Tapos, Kota Depok",3,2,225,50,Baru
"Rp 4,5 Miliar","Pondok Aren, Kota Tangerang Selatan",5,5,LB 285,0,Second
Rp 600 Juta - Rp 930 Juta,"Cibinong, Kab. Bogor",2-3,1-2,60,45 - 60,Baru
"Rp 4,9 Miliar","Tanjung Priok, Kota Jakarta Utara",4,2,128,185,Second
Rp 617 Juta - Rp 763 Juta,"Sawangan, Kota Depok",2,2,60,52,Baru
Rp 285 Juta,"Sawangan, Kota Depok",2,1,50,36,Second
"Rp 1 Miliar - Rp 1,5 Miliar","Ciputat, Kota Tangerang Selatan",3,2,114 - 152,89 - 140,Baru
Rp 900 Juta,"Cipanas, Kab. Cianjur",2,2,219,180,Second
Rp 664 Juta - Rp 838 Juta,"Bogor Selatan, Kota Bogor",2,2,45,50,Baru
"Rp 3,4 Miliar","Pondok Aren, Kota Tangerang Selatan",3,2,222,0,Second
Rp 502 Juta - Rp 630 Juta,"Ujungberung (Ujung Berung), Kota Bandung",2,1,60,36,Baru
Rp 590 Juta,"Ciputat, Kota Tangerang Selatan",3,1,72,60,Second
"Rp 1,12 Miliar - Rp 3,01 Miliar","Tarumajaya, Kab. Bekasi",3,2-3,54 - 112,55 - 104,Baru
"Rp 3,9 Miliar","Tanjung Priok, Kota Jakarta Utara",4,3,114,244,Second
"Rp 2,89 Miliar - Rp 5,99 Miliar","Tarumajaya, Kab. Bekasi",3,3,135 - 192,149 - 198,Baru
"Rp 1,1 Miliar","Pondok Aren, Kota Tangerang Selatan",3,3,75,90,Second
"Rp 566,4 Juta - Rp 1,04 Miliar","Cibeunying Kidul, Kota Bandung",2-3,1-2,68 - 78,36 - 70,Baru
Rp 777 Juta,"Pancoran Mas, Kota Depok",3,1,LB 60,0,Second
Rp 417 Juta - Rp 560 Juta,"Sawangan, Kota Depok",2-3,2,30 - 40,40 - 45,Baru
Rp 425 Juta,"Ngaliyan, Kota Semarang",3,1,72,72,Second
Rp 200 Juta,"Banyumanik, Kota Semarang",2,1,60,45,Baru
"Rp 12,9 Miliar","Sawangan, Kota Depok",8,6,2.057,1.000,Second
"Rp 950 Juta - Rp 1,05 Miliar","Cilodong, Kota Depok",3,3,80,82,Baru
"Rp 1,15 Miliar","Pekalongan Timur, Kota Pekalongan",3,2,703,250,Second
Rp 775 Juta - Rp 800 Juta,"Cilodong, Kota Depok",2,1,70,50,Baru
Rp 950 Juta,"Sukarami, Kota Palembang",3,3,176,200,Second
"Rp 1,39 Miliar","Jagakarsa, Kota Jakarta Selatan",3,3,87,115,Baru
"Rp 1,8 Miliar","Kalidoni, Kota Palembang",3,4,136,160,Second
Rp 800 Juta - Rp 972 Juta,"Pamulang, Kota Tangerang Selatan",3,2,72,70,Baru
Rp 3 Miliar,"Bogor Barat, Kota Bogor",5,4,330,140,Second
Rp 925 Juta - Rp 930 Juta,"Pamulang, Kota Tangerang Selatan",3,2,74,65,Baru
"Rp 5,4 Miliar","Waru, Kab. Sidoarjo",6,3,240,384,Second
"Rp 1,8 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",4,3,140,120,Baru
Rp 790 Juta,"Cipayung, Kota Jakarta Timur",3,2,55,80,Second
"Rp 1,17 Miliar","Bekasi Barat, Kota Bekasi",2,1,52,90,Baru
"Rp 3,9 Miliar","Depok, Kab. Sleman",4,3,212,160,Second
Rp 600 Juta - Rp 800 Juta,"Tambun Selatan, Kab. Bekasi",3,2,63,90,Baru
Rp 900 Juta,"Cipayung, Kota Jakarta Timur",3,2,50,80,Second
Rp 446 Juta,"Setu, Kab. Bekasi",2,1,76,46,Baru
Rp 475 Juta,"Tambun Selatan, Kab. Bekasi",3,2,60,80,Second
"Rp 1,09 Miliar - Rp 1,81 Miliar","Serpong, Kota Tangerang Selatan",3,3,60,85,Baru
Rp 500 Juta,"Karang Tengah, Kota Tangerang",2,2,38,50,Second
"Rp 404,4 Juta - Rp 425 Juta","Babelan, Kab. Bekasi",2,1,60,33,Baru
Rp 360 Juta,"Tambun Selatan, Kab. Bekasi",2,1,72,36,Second
"Rp 509,01 Juta - Rp 535 Juta","Babelan, Kab. Bekasi",2,1,72,45,Baru
Rp 8 Miliar,"Samarinda Kota, Kota Samarinda",4,2,500,200,Second
"Rp 675,51 Juta - Rp 710 Juta","Babelan, Kab. Bekasi",3,2,84,68,Baru
"Rp 1,85 Miliar","Ciledug, Kota Tangerang",4,3,100,150,Second
"Rp 566,1 Juta - Rp 595 Juta","Babelan, Kab. Bekasi",LT 84 m²,LB 54 m²,0,0,Baru
Rp 27 Miliar,"Grogol, Kab. Sukoharjo",9,4,846,888,Second
Rp 894 Juta - Rp 943 Juta,"Cikarang Utara, Kab. Bekasi",3,2,101,91,Baru
"Rp 3,5 Miliar","Tebet, Kota Jakarta Selatan",5,7,100,190,Second
"Rp 592,7 Juta - Rp 793,8 Juta","Tambun Selatan, Kab. Bekasi",3,2,50,65,Baru
"Rp 1,55 Miliar","Medansatria (Medan Satria), Kota Bekasi",3,3,126,120,Second
Rp 875 Juta - Rp 970 Juta,"Kiaracondong, Kota Bandung",2,2,75,58,Baru
"Rp 1,18 Miliar","Gunung Putri, Kab. Bogor",3,2,126,130,Second
Rp 823 Juta - Rp 863 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",3,2,69,72,Baru
"Rp 2,3 Miliar","Kelapa Gading, Kota Jakarta Utara",3,3,90,120,Second
"Rp 1,5 Miliar - Rp 1,88 Miliar","Tapos, Kota Depok",3,2,120,100,Baru
