Harga,Lokasi,Kamar_Tidur,Kamar_Mandi,Luas_Tanah,Luas_Bangunan,Kondisi
Rp 600 Juta,"Sawangan, Kota Depok",2,1,83,0,Second
"Rp 1,45 Miliar - Rp 1,85 Miliar","Jagakarsa, Kota Jakarta Selatan",3,2,61,85,Baru
Rp 960 Juta,"Lowokwaru, Kota Malang",4,3,61,132,Second
"Rp 549 Juta - Rp 643,5 Juta","Ciomas, Kab. Bogor",2,1,55 - 72,36 - 45,Baru
Rp 695 Juta,"Purwokerto Utara, Kab. Banyumas",2,2,120,65,Second
Rp 450 Juta - Rp 737 Juta,"Tarumajaya, Kab. Bekasi",2,1,60,36,Baru
Rp 550 Juta,"Sawangan, Kota Depok",2,1,60,38,Second
"Rp 1,27 Miliar - Rp 1,67 Miliar","Ciracas, Kota Jakarta Timur",3,2,80,60,Baru
"Rp 1,7 Miliar","Pancoran Mas, Kota Depok",4,LT 82 m²,LB 190,0,Second
"Rp 1,27 Miliar - Rp 1,67 Miliar","Ciracas, Kota Jakarta Timur",4,4,72,130,Baru
"Rp 1,2 Miliar","Waru, Kab. Sidoarjo",4,2,108,90,Second
"Rp 900 Juta - Rp 1,1 Miliar","Bogor Barat, Kota Bogor",0,0,0,0,Baru
Rp 650 Juta,"Jatisampurna (Jati Sampurna), Kota Bekasi",3,2,60,53,Second
Rp 655 Juta - Rp 997 Juta,"Sepatan, Kab. Tangerang",2-3,1,72 - 102,38 - 80,Baru
Rp 550 Juta,"Rancasari, Kota Bandung",1,1,100,65,Second
"Rp 751 Juta - Rp 1,44 Miliar","Pamulang, Kota Tangerang Selatan",2-3,2,50 - 60,60 - 64,Baru
Rp 650 Juta,"Candi, Kab. Sidoarjo",3,2,91,150,Second
"Rp 766,5 Juta - Rp 1,46 Miliar","Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
"Rp 1,1 Miliar","Rancasari, Kota Bandung",3,2,72,80,Second
"Rp 5 Miliar - Rp 8,5 Miliar","Mampang Prapatan, Kota Jakarta Selatan",0,0,0,0,Tidak diketahui
Rp 700 Juta,"Prambanan, Kab. Klaten",2,2,LB 45,0,Second
"Rp 1,2 Miliar - Rp 1,6 Miliar","Ciracas, Kota Jakarta Timur",0,0,0,0,Baru
Rp 235 Juta,"Serang Baru, Kab. Bekasi",2,1,60,45,Second
Rp 426 Juta - Rp 544 Juta,"Cileungsi, Kab. Bogor",0,0,0,0,Baru
Rp 485 Juta,"Teluknaga, Kab. Tangerang",2,1,60,36,Second
"Rp 1,15 Miliar - Rp 1,29 Miliar","Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 1,65 Miliar","Serpong Utara, Kota Tangerang Selatan",3,2,LB 90,0,Second
Rp 729 Juta - Rp 769 Juta,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
Rp 695 Juta,"Cilodong, Kota Depok",2,1,75,45,Second
Rp 800 Juta - Rp 850 Juta,"Umbulharjo, Kota Yogyakarta",0,0,0,0,Baru
"Rp 1,4 Miliar","Pondokgede (Pondok Gede), Kota Bekasi",3,3,91,0,Second
Rp 185 Juta - Rp 195 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 950 Juta,"Grogol Petamburan, Kota Jakarta Barat",2,2,24,72,Second
Rp 600 Juta - Rp 700 Juta,"Pancoran Mas, Kota Depok",0,0,0,0,Baru
Rp 350 Juta,"Gunung Putri, Kab. Bogor",13,8,310,275,Second
"Rp 1 Miliar - Rp 2,7 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",0,0,0,0,Baru
Rp 770 Juta,"Kelapa Dua, Kab. Tangerang",2,1,90,60,Second
Rp 700 Juta - Rp 750 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 625 Juta,"Pamulang, Kota Tangerang Selatan",1,LT 62 m²,LB 55,0,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 990 Juta,"Pamulang, Kota Tangerang Selatan",3,3,83,90,Second
Rp 185 Juta - Rp 200 Juta,"Cisoka, Kab. Tangerang",0,0,0,0,Baru
Rp 702 Juta,"Pondokgede (Pondok Gede), Kota Bekasi",3,2,53,60,Second
"Rp 2,47 Miliar - Rp 3,08 Miliar","Kebon Jeruk, Kota Jakarta Barat",3,3,79,128,Baru
Rp 650 Juta,"Tembalang, Kota Semarang",2,1,99,50,Second
"Rp 900 Juta - Rp 1,26 Miliar","Beji, Kota Depok",2,1,53,70,Baru
Rp 2 Miliar,"Cikarang Selatan, Kab. Bekasi",4,4,160,190,Second
"Rp 1,69 Miliar - Rp 2,39 Miliar","Cipayung, Kota Depok",0,0,0,0,Baru
Rp 585 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",3,2,108,75,Second
"Rp 930 Juta - Rp 1,29 Miliar","Bogor Barat, Kota Bogor",0,0,0,0,Baru
Rp 126 Juta,"Katapang, Kab. Bandung",2,1,32,21,Second
Rp 769 Juta - Rp 799 Juta,"Bogor Barat, Kota Bogor",0,0,0,0,Baru
"Rp 12,5 Miliar","Pasar Minggu, Kota Jakarta Selatan",5,4,680,0,Second
"Rp 983 Juta - Rp 2,51 Miliar","Bogor Barat, Kota Bogor",2-3,1-3,75 - 126,45 - 88,Baru
Rp 950 Juta,"Pagedangan, Kab. Tangerang",2,2,48,68,Second
"Rp 675 Juta - Rp 1,4 Miliar","Cikupa, Kab. Tangerang",0,0,0,0,Baru
Rp 19 Miliar,"Tebet, Kota Jakarta Selatan",6,4,610,750,Second
"Rp 3,5 Miliar - Rp 6,6 Miliar","Mampang Prapatan, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 990 Juta,"Pamulang, Kota Tangerang Selatan",3,3,83,90,Second
"Rp 3,5 Miliar - Rp 6,6 Miliar","Mampang Prapatan, Kota Jakarta Selatan",0,0,0,0,Baru
Rp 480 Juta,"Mlati, Kab. Sleman",3,2,74,60,Second
"Rp 2,05 Miliar","Tampan, Kota Pekanbaru",4,4,200,150,Baru
"Rp 11,5 Miliar","Cidadap, Kota Bandung",4,4,1.248,1.000,Second
"Rp 985 Juta - Rp 1,5 Miliar","Serpong, Kota Tangerang Selatan",3,2,60,66 - 74,Baru
Rp 450 Juta,"Bekasi Barat, Kota Bekasi",2,1,45,45,Second
"Rp 683 Juta - Rp 2,88 Miliar","Babakan Madang, Kab. Bogor",1-5,1-4,35 - 144,38 - 158,Baru
"Rp 1,9 Miliar","Cipayung, Kota Jakarta Timur",3,3,107,0,Second
"Rp 766 Juta - Rp 1,5 Miliar","Bogor Utara, Kota Bogor",2-3,1-2,74 - 90,36 - 90,Baru
Rp 780 Juta,"Margaasih, Kab. Bandung",4,2,140,135,Second
"Rp 1,6 Miliar - Rp 1,9 Miliar","Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 990 Juta,"Pamulang, Kota Tangerang Selatan",3,2,83,90,Second
Rp 900 Juta - Rp 999 Juta,"Rawalumbu, Kota Bekasi",3,2,63 - 82,70,Baru
Rp 599 Juta,"Bekasi Utara, Kota Bekasi",3,3,66,66,Second
"Rp 395,4 Juta - Rp 762,6 Juta","Bogor Barat, Kota Bogor",2,1,50 - 60,30 - 36,Baru
Rp 500 Juta,"Cilincing, Kota Jakarta Utara",2,LT 90 m²,LB 45,0,Second
"Rp 550,74 Juta - Rp 765,47 Juta","Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
"Rp 1,6 Miliar","Cipayung, Kota Depok",3,2,225,108,Second
Rp 700 Juta - Rp 800 Juta,"Pamulang, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 690 Juta,"Rungkut, Kota Surabaya",2,1,84,0,Second
"Rp 1,65 Miliar - Rp 1,84 Miliar","Pagedangan, Kab. Tangerang",2,1,48 - 56,63 - 74,Baru
"Rp 1,65 Miliar","Ciputat, Kota Tangerang Selatan",2,2,156,56,Second
Rp 696 Juta - Rp 783 Juta,"Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 950 Juta,"Katapang, Kab. Bandung",3,2,LB 96,0,Second
"Rp 493,2 Juta - Rp 520 Juta","Bojong Gede (Bojonggede), Kab. Bogor",0,0,0,0,Baru
"Rp 1,47 Miliar","Cempaka Putih, Kota Jakarta Pusat",3,3,42,72,Second
Rp 555 Juta - Rp 575 Juta,"Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 780 Juta,"Medan Selayang, Kota Medan",3,3,74,74,Second
"Rp 975 Juta - Rp 1,65 Miliar","Batu, Kota Batu",2-3,2,72 - 84,73 - 80,Baru
Rp 845 Juta,"Cimahi Utara, Kota Cimahi",3,LT 90 m²,LB 120,0,Second
"Rp 610 Juta - Rp 1,71 Miliar","Panakkukang, Kota Makassar",2-3,1-2,70 - 84,45 - 110,Baru
"Rp 5,5 Miliar","Sukajadi, Kota Bandung",6,4,400,0,Second
"Rp 645 Juta - Rp 1,39 Miliar","Panakkukang, Kota Makassar",2-3,1-2,60 - 110,47 - 110,Baru
Rp 299 Juta,"Pancoran Mas, Kota Depok",2,1,40,30,Second
Rp 306 Juta - Rp 336 Juta,"Sawangan, Kota Depok",2,1,60,36,Baru
"Rp 1,3 Miliar","Rungkut, Kota Surabaya",4,2,198,215,Second
"Rp 600 Juta - Rp 4,1 Miliar","Ciputat, Kota Tangerang Selatan",3,2,78,97,Tidak diketahui
"Rp 1,15 Miliar","Sukmajaya, Kota Depok",3,2,LB 90,0,Second
"Rp 525 Juta - Rp 1,05 Miliar","Karangpawitan, Kab. Garut",2-3,1-2,60 - 72,47 - 70,Baru
"Rp 2,35 Miliar","Kuta Selatan, Kab. Badung",3,3,108,200,Second
Rp 400 Juta - Rp 498 Juta,"Cileungsi, Kab. Bogor",0,0,0,0,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",2,1,50,40,Second
Rp 167 Juta - Rp 172 Juta,"Kasemen, Kota Serang",2,1,60 - 72,30 - 36,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",2,1,50,40,Second
"Rp 160,4 Juta - Rp 164 Juta","Kaliwungu Selatan, Kab. Kendal",2,1,60,29,Baru
Rp 4 Miliar,"Klaten Selatan, Kab. Klaten",7,5,LB 750,0,Second
Rp 154 Juta - Rp 257 Juta,"Katapang, Kab. Bandung",2,1,52 - 76,36 - 45,Baru
"Rp 1,7 Miliar","Jagakarsa, Kota Jakarta Selatan",4,3,126,200,Second
Rp 450 Juta - Rp 699 Juta,"Cileungsi, Kab. Bogor",0,0,0,0,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",1,LT 50 m²,LB 40,0,Second
"Rp 1,86 Miliar - Rp 2,1 Miliar","Ciputat, Kota Tangerang Selatan",0,0,0,0,Baru
Rp 600 Juta,Kab. Bandung,3,1,70,90,Second
Rp 848 Juta,"Cipayung, Kota Depok",0,0,0,0,Baru
"Rp 7,5 Miliar","Pondokmelati (Pondok Melati), Kota Bekasi",4,4,505,0,Second
"Rp 546,3 Juta - Rp 606,8 Juta","Cibinong, Kab. Bogor",2,1,60 - 66,36 - 41,Baru
"Rp 2,5 Miliar","Cakung, Kota Jakarta Timur",3,2,130,200,Second
"Rp 702,8 Juta - Rp 1,03 Miliar","Limo, Kota Depok",2,2,48,52,Baru
Rp 750 Juta,"Tanah Sareal (Tanah Sereal), Kota Bogor",2,1,78,45,Second
"Rp 1,1 Miliar - Rp 1,53 Miliar","Serpong, Kota Tangerang Selatan",3,2,79,72,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",2,1,50,38,Second
Rp 410 Juta,"Gunung Anyar (Gununganyar), Kota Surabaya",1,1,18 - 21,31,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",2,1,50,0,Second
"Rp 1,48 Miliar - Rp 1,64 Miliar","Ciputat Timur, Kota Tangerang Selatan",3,2,60,77,Baru
Rp 799 Juta,"Limo, Kota Depok",3,2,75,0,Second
"Rp 546,3 Juta - Rp 606,8 Juta","Cibinong, Kab. Bogor",2,1,60 - 66,36 - 41,Baru
"Rp 1,5 Miliar","Cicendo, Kota Bandung",2,1,72,54,Second
"Rp 349 Juta - Rp 449,3 Juta","Sepatan, Kab. Tangerang",2,1,60 - 66,36 - 40,Baru
Rp 230 Juta,"Ciracas, Kota Jakarta Timur",1,1,24,24,Second
Rp 220 Juta - Rp 250 Juta,"Arjasari, Kab. Bandung",2,1,70,36,Baru
Rp 500 Juta,"Cisauk, Kab. Tangerang",2,LT 50 m²,LB 30,0,Second
"Rp 450 Juta - Rp 1,5 Miliar","Tanah Sareal (Tanah Sereal), Kota Bogor",0,0,0,0,Baru
Rp 360 Juta,"Sawangan, Kota Depok",3,2,54,60,Second
Rp 400 Juta - Rp 800 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",0,0,0,0,Baru
"Rp 3,7 Miliar","Sukolilo, Kota Surabaya",4,LT 300 m²,LB 500,0,Second
Rp 225 Juta - Rp 520 Juta,"Sukawangi, Kab. Bekasi",2-3,1-2,50 - 82,30 - 72,Baru
Rp 425 Juta,"Margaasih, Kab. Bandung",2,1,72,42,Second
Rp 737 Juta - Rp 780 Juta,"Mustikajaya (Mustika Jaya), Kota Bekasi",3,2,55 - 71,58,Baru
"Rp 1,1 Miliar","Bekasi Utara, Kota Bekasi",4,2,90,108,Second
"Rp 752 Juta - Rp 1,6 Miliar","Bojongsari, Kota Depok",0,0,0,0,Baru
"Rp 1,18 Miliar","Gunung Putri, Kab. Bogor",3,2,60,67,Second
Rp 413 Juta - Rp 506 Juta,"Cileunyi, Kab. Bandung",2,1,68 - 72,36,Baru
"Rp 1,45 Miliar","Buahbatu (Margacinta), Kota Bandung",5,2,110,180,Second
Rp 379 Juta - Rp 502 Juta,"Cileunyi, Kab. Bandung",2,1,68 - 72,30 - 36,Baru
Rp 475 Juta,"Rungkut, Kota Surabaya",1,LT 50 m²,LB 38,0,Second
"Rp 469,4 Juta - Rp 1,04 Miliar","Tenjo, Kab. Bogor",2,1,90,36 - 45,Baru
"Rp 741,77 Juta","Rawalumbu, Kota Bekasi",3,2,60,34,Second
"Rp 1,34 Miliar - Rp 2,02 Miliar","Batu, Kota Batu",3-4,2,84 - 105,85 - 107,Baru
"Rp 1,6 Miliar","Gunung Putri, Kab. Bogor",3,3,171,220,Second
"Rp 780 Juta - Rp 1,27 Miliar","Cileungsi, Kab. Bogor",2-3,1-2,55 - 60,32 - 61,Baru
